"","id","wd","hour","load"
"329","SM20R-01-00000623",7,16,0.0861948818897652
"330","SM20R-01-00000623",7,17,0.0842829724409433
"331","SM20R-01-00000623",7,18,0.136398255813952
"332","SM20R-01-00000623",7,19,0.157465820312503
"333","SM20R-01-00000623",7,20,0.140567382812494
"334","SM20R-01-00000623",7,21,0.107269042968756
"335","SM20R-01-00000623",7,22,0.0751367187499938
"336","SM20R-01-00000623",7,23,0.0488374023437611
"337","SM20R-01-0000063D",1,0,0.0790839843750094
"338","SM20R-01-0000063D",1,1,0.073376953125
"339","SM20R-01-0000063D",1,2,0.0725625000000032
"340","SM20R-01-0000063D",1,3,0.0678515625000062
"341","SM20R-01-0000063D",1,4,0.0706235351562578
"342","SM20R-01-0000063D",1,5,0.0743242187499973
"343","SM20R-01-0000063D",1,6,0.0850400390624969
"344","SM20R-01-0000063D",1,7,0.10209301181103
"345","SM20R-01-0000063D",1,8,0.118825301204808
"346","SM20R-01-0000063D",1,9,0.139356707317076
"347","SM20R-01-0000063D",1,10,0.17796145833333
"348","SM20R-01-0000063D",1,11,0.185288020833332
"349","SM20R-01-0000063D",1,12,0.179944958847735
"350","SM20R-01-0000063D",1,13,0.168381659836066
"351","SM20R-01-0000063D",1,14,0.173169238683119
"352","SM20R-01-0000063D",1,15,0.174590676229508
"353","SM20R-01-0000063D",1,16,0.193535204081647
"354","SM20R-01-0000063D",1,17,0.281612999999987
"355","SM20R-01-0000063D",1,18,0.346528808593752
"356","SM20R-01-0000063D",1,19,0.3694189453125
"357","SM20R-01-0000063D",1,20,0.299389648437505
"358","SM20R-01-0000063D",1,21,0.193743164062495
"359","SM20R-01-0000063D",1,22,0.12624511718749
"360","SM20R-01-0000063D",1,23,0.100304901960795
"361","SM20R-01-0000063D",2,0,0.0822138671874922
"362","SM20R-01-0000063D",2,1,0.0759208984375031
"363","SM20R-01-0000063D",2,2,0.0724233398437561
"364","SM20R-01-0000063D",2,3,0.0727973632812578
